Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Albin,Nilsson,Nygatan 29,Helsingborg,38433,Sverige,SE,20001030-3554,+46,+46 (0)225 105 12,2000-10-30,True
Jacqueline,King,Emily Summit 53380,South Paige,39014,Danmark,DK,19901018-7547,+45,+1-293-412-5572x648,1990-10-18,True
Randall,Mendez,Dustin Alley 4673,New Wandaburgh,03709,Danmark,DK,19790225-6963,+45,(367)346-5688x352,1979-02-25,True
Anja,Mäkelä,Wecksellinkatu 791,Honkajoki,41329,Finland,FI,19560329-162L,+358,(+358) 034715775,1956-03-29,True
Linnea,Karlsson,Storgränd 5,Kalmar,95640,Sverige,SE,19660317-1011,+46,+46 (0)8 232 995 31,1966-03-17,True
Hanna,Aune,Antonsenspranget 2B,Gunnvåg,7588,Norge,NO,19671228-1737,+47,86212448,1967-12-28,True
Peter,Eriksson,Kyrkgatan 7,Skellefteå,92854,Sverige,SE,19510829-8101,+46,08-10 45 43,1951-08-29,True
Elisabeth,Lind,Industristigen 4,Helsingborg,30628,Sverige,SE,19620616-1241,+46,022-070 83 82,1962-06-16,True
Erik,Olsson,Granvägen 380,Karlskrona,43660,Sverige,SE,19940131-5026,+46,056-092 87 27,1994-01-31,True
Julia,Vargas,Martin Mountain 591,West Rachel,14760,Danmark,DK,19530531-0216,+45,+1-306-386-3222x244,1953-05-31,True
Erin,Garcia,Vargas Ramp 58573,East Andrew,62343,Danmark,DK,19501220-1539,+45,478-932-8954x0949,1950-12-20,True
Sara,Petersson,Ringgränd 943,Sundsvall,72390,Sverige,SE,19730107-4798,+46,0462-354 76,1973-01-07,True
Marcus,Johansson,Ängsstigen 1,Göteborg,53977,Sverige,SE,19860531-2262,+46,+46 (0)8 230 685 41,1986-05-31,True
Linn,Isaksen,Myhrestranda 6,Randifoss,8611,Norge,NO,19651111-8950,+47,945 63 433,1965-11-11,True
Johannes,Johansson,Strandtorget 7,Växjö,65221,Sverige,SE,19981221-3275,+46,0509-204 47,1998-12-21,True
Hans,Andersson,Idrottsgränd 588,Ängelholm,74343,Sverige,SE,19880209-8942,+46,+46 (0)55 01 54 35,1988-02-09,True
Sven,Nygren,Fabrikstorget 73,Norrköping,86246,Sverige,SE,19870824-3294,+46,0536-648 02,1987-08-24,True
Johan,Larsson,Trädgårdsgatan 664,Skövde,26884,Sverige,SE,19910501-8459,+46,005-071 82 85,1991-05-01,True
Holger,Lundin,Kyrkgatan 58,Umeå,66388,Sverige,SE,19490512-3057,+46,+46 (0)8 586 926 41,1949-05-12,True
Magnus,Eliassen,Jørgensenfaret 42,Grethevær,9001,Norge,NO,19990424-1179,+47,59461579,1999-04-24,True
Christer,Karlsson,Ängsgatan 4,Kalmar,96648,Sverige,SE,19620811-6888,+46,0344-06 68 99,1962-08-11,True
Emil,Hauge,Karlsengropa 7,Henriksen,4458,Norge,NO,19730129-6914,+47,+4736460091,1973-01-29,True
Nicole,Turner,Brent Springs 85068,Donaldmouth,94295,Danmark,DK,19490614-9415,+45,001-514-960-1852x92568,1949-06-14,True
Birgitta,Andersson,Kyrkvägen 438,Göteborg,68277,Sverige,SE,19680804-9226,+46,0283-793 36,1968-08-04,True
Daniel,Karlsen,Eliassenholtet 57A,Jørgenvær,2992,Norge,NO,19471031-2473,+47,18140975,1947-10-31,True
Debra,Martinez,Christina Lake 8145,Lopezchester,42050,Danmark,DK,19710119-3741,+45,6128276584,1971-01-19,True
Tommy,Adolfsson,Villagatan 8,Motala,15642,Sverige,SE,19980224-5977,+46,08-311 36 20,1998-02-24,True
Benjamin,Grimes,Jessica Landing 251,South Kimberly,97136,Danmark,DK,19560127-8865,+45,+1-318-327-3464,1956-01-27,True
Jennifer,Goodwin,Emily Unions 027,Jacksonberg,90481,Danmark,DK,19561001-0893,+45,001-332-273-9852x62075,1956-10-01,True
Knut,Lund,Eliassenekra 31,Emilieby,8932,Norge,NO,19810925-7450,+47,46056219,1981-09-25,True
Magne,Andresen,Larsenstien 5,Rønning,2847,Norge,NO,19720121-7873,+47,63226270,1972-01-21,True
Arne,Nilsson,Kyrkogatan 4,Ängelholm,43995,Sverige,SE,19830818-2198,+46,08-32 56 63,1983-08-18,True
Kjell,Olsson,Järnvägsgränd 18,Trelleborg,61791,Sverige,SE,19920104-3459,+46,08-455 63 90,1992-01-04,True
Inger,Johansson,Furuvägen 6,Ängelholm,50034,Sverige,SE,19850319-0299,+46,08-474 03 07,1985-03-19,True
Nils,Svensson,Järnvägsgatan 5,Sandviken,89041,Sverige,SE,19910922-8606,+46,08-438 76 74,1991-09-22,True
Yngve,Edlund,Bäcktorget 256,Norrköping,58606,Sverige,SE,19461126-7537,+46,08-71 15 77,1946-11-26,True
Bo,Bergman,Skolvägen 141,Halmstad,50836,Sverige,SE,19650206-9240,+46,+46 (0)676 754 47,1965-02-06,True
Jennifer,Hill,Wilkerson Centers 43289,West Laura,10294,Danmark,DK,19680218-6122,+45,376-485-3597,1968-02-18,True
Kristy,Welch,Velazquez Meadow 414,Port Tina,82091,Danmark,DK,19910206-5090,+45,001-292-236-6443x669,1991-02-06,True
Maria,Eklund,Ängsgränd 02,Karlskoga,72939,Sverige,SE,19710422-3694,+46,08-045 38 33,1971-04-22,True
Madeleine,Sundberg,Ängstorget 099,Östersund,88347,Sverige,SE,19971116-5888,+46,0219-81 27 41,1997-11-16,True
Kerstin,Bergström,Parkgatan 2,Karlstad,88411,Sverige,SE,19820725-8526,+46,+46 (0)80 51 55 19,1982-07-25,True
Karin,Johansson,Kyrkgatan 9,Malmö,76532,Sverige,SE,19900721-3820,+46,061-976 57 88,1990-07-21,True
Tom,Ellingsen,Dahlroa 78,Vik,8151,Norge,NO,19450227-0271,+47,98 01 47 81,1945-02-27,True
Jarmo,Saarela,Fabianinkatu 0,Joensuu,10000,Finland,FI,19670225-842N,+358,000 591 6845,1967-02-25,True
Hanna,Järvinen,Betonitie 1,Turku,17359,Finland,FI,19660724-049V,+358,0715103500,1966-07-24,True
Anita,Johansson,Parkvägen 9,Falun,29850,Sverige,SE,19770604-1122,+46,08-282 732 25,1977-06-04,True
Jonathan,Whitehead,Villegas Drives 468,South Abigailville,54045,Danmark,DK,19410806-2817,+45,706.324.1306,1941-08-06,True
Åse,Haugen,Sætherengen 733,Karlstad,0693,Norgr,NO,19660826-6336,+47,41892864,1966-08-26,True
Vera,Nyström,Idrottstorget 17,Kristianstad,32014,Sverige,SE,19421229-4302,+46,+46 (0)8 538 893 99,1942-12-29,True
Edvin,Eliasson,Aspstigen 87,Varberg,54806,Sverige,SE,19820514-9695,+46,0171-64 03 09,1982-05-14,True
Bryan,Rasmussen,Monica Lock 1001,Avilafort,90257,Danmark,DK,19770430-5677,+45,001-949-850-1140x15402,1977-04-30,True
Robert,Lundgren,Idrottsstigen 725,Skellefteå,47600,Sverige,SE,19610225-7312,+46,098-554 59 43,1961-02-25,True
Eva,Ekström,Stortorget 7,Piteå,60837,Sverige,SE,19480417-2670,+46,08-667 46 14,1948-04-17,False
Kjell,Svärd,Åkergatan 8,Gävle,37901,Sverige,SE,20000823-2556,+46,043-284 55 75,2000-08-23,True
Jan,Lundström,Parkgränd 263,Trelleborg,42413,Sverige,SE,19880212-9000,+46,069-43 77 23,1988-02-12,True
Elisabeth,Leskinen,Rapolantie 479,Uusikaarlepyy,42403,Finland,FI,19420506-2198,+358,0877789459,1942-05-06,True
Jessica,Nordström,Granvägen 800,Umeå,47437,Sverige,SE,19670216-1148,+46,013-63 57 38,1967-02-16,True
Signe,Andersson,Kyrkogatan 577,Lidingö,20580,Sverige,SE,19430321-3191,+46,0676-70 08 69,1943-03-21,True
Siv,Sundberg,Skoltorget 132,Motala,44368,Sverige,SE,19520802-2855,+46,028-22 24 45,1952-08-02,True
Yvonne,Olausson,Ekvägen 951,Örnsköldsvik,83409,Sverige,SE,19470924-9744,+46,08-752 259 59,1947-09-24,True
Ida,Bøe,Myklebusthøgda 59,Larsby,1177,Norge,NO,19550519-3551,+47,92 56 31 01,1955-05-19,True
Peter,Björkman,Kvarnstigen 7,Linköping,67999,Sverige,SE,19991006-2231,+46,+46 (0)8 481 730 78,1999-10-06,True
Hans,Pettersson,Villavägen 216,Karlskoga,40720,Sverige,SE,19800307-8918,+46,+46 (0)748 747 20,1980-03-07,True
Harald,Eliassen,Hagenkollen 3,Stinesund,8960,Norge,NO,19580318-2449,+47,65 38 59 37,1958-03-18,True
David,Maldonado,Stephanie Trail 32276,Hicksstad,53563,Danmark,DK,19490101-5064,+45,001-454-485-1509x2866,1949-01-01,True
Eva,Johansson,Villavägen 58,Uppsala,61970,Sverige,SE,20001106-4250,+46,0439-976 23,2000-11-06,True
Synnøve,Iversen,Johannessenroa 4C,Tommyeid,0551,Norge,NO,19660412-6380,+47,+47 94 96 05 12,1966-04-12,True
Gunnar,Sundström,Furutorget 99,Piteå,82287,Sverige,SE,19970102-1214,+46,08-976 784 53,1997-01-02,True
Sondre,Eriksen,Madsenrøa 086,Espenvåg,1535,Norge,NO,19770805-6638,+47,54 18 76 01,1977-08-05,True
Elisabet,Strandberg,Skolgränd 571,Stockholm,76160,Sverige,SE,19440414-2189,+46,066-25 76 57,1944-04-14,True
Kenneth,Ali,Knutsentjernet 24D,Holm,0841,Norge,NO,19930124-5879,+47,95579941,1993-01-24,True
Ulf,Olsson,Åkergränd 99,Alingsås,18347,Sverige,SE,19950407-7128,+46,+46 (0)95 18 82 56,1995-04-07,True
Brandi,Moore,Leon Lodge 3216,Port Michelleburgh,97980,Danmark,DK,19900910-8775,+45,001-852-510-1321x81757,1990-09-10,True
Marcus,Karlsson,Fabriksgränd 4,Umeå,26177,Sverige,SE,19980815-9821,+46,0642-205 24,1998-08-15,True
Anna,Larsson,Strandgränd 5,Uddevalla,96231,Sverige,SE,19590405-0487,+46,036-456 42 13,1959-04-05,True
Ulla,Pettersson,Strandvägen 4,Örebro,45773,Sverige,SE,19850222-9248,+46,08-248 519 32,1985-02-22,True
Marie,Karlsson,Ekgatan 76,Borlänge,59440,Sverige,SE,19410226-6052,+46,0673-708 31,1941-02-26,True
Charlotte,Jonsson,Bäckgatan 0,Växjö,18782,Sverige,SE,19610827-4265,+46,08-46 49 04,1961-08-27,True
Christopher,Jones,Kelsey Squares 5571,Lauraview,21634,Danmark,DK,19450622-0042,+45,(305)886-4371,1945-06-22,True
Odd,Johannessen,Myklebustplassen 1B,Elinnes,0681,Norge,NO,19500225-1601,+47,+4782824171,1950-02-25,True
Kerstin,Blom,Ringgatan 375,Jönköping,29111,Sverige,SE,19830328-8388,+46,08-588 223 99,1983-03-28,True
Earl,Fowler,David Forges 3710,South Josephbury,59115,Danmark,DK,19811017-3700,+45,(790)772-3597x2688,1981-10-17,True
Elisabet,Karlsson,Kyrkgränd 552,Borlänge,56752,Sverige,SE,19630209-3767,+46,0695-595 89,1963-02-09,True
Ingrid,Lundström,Fabriksgatan 20,Sandviken,33766,Sverige,SE,19520505-7418,+46,+46 (0)23 35 37 66,1952-05-05,True
Johan,Andersson,Storgränd 0,Alingsås,25634,Sverige,SE,19910408-4642,+46,+46 (0)69 64 54 03,1991-04-08,True
Tore,Andreassen,Moenhaugen 7,Eriksen,5063,Norge,NO,19750501-0263,+47,39 58 80 93,1975-05-01,True
Deanna,Caldwell,Chen Falls 96154,Brianfort,37737,Danmark,DK,19521003-6912,+45,(850)546-7083,1952-10-03,True
Marianne,Isaksen,Arnesenalléen 7,Ritastrand,2489,Norge,NO,19841220-7925,+47,32214222,1984-12-20,True
Yvonne,Malmberg,Kvarnvägen 751,Eskilstuna,25026,Sverige,SE,19680301-4667,+46,+46 (0)8 311 773 78,1968-03-01,True
Tara,Gardner,Patricia Locks 24139,North Ambershire,56348,Danmark,DK,19770322-6422,+45,001-312-546-1965x338,1977-03-22,True
Erling,Bøe,Hanssenvollen 9,Strøm,0465,Norge,NO,19971128-6847,+47,82811482,1997-11-28,True
Tomas,Jakobsson,Strandgatan 440,Borås,80818,Sverige,SE,19401125-7797,+46,086-860 72 63,1940-11-25,True
Unni,Brekke,Evensenekra 68,Berge,0772,Norge,NO,19910316-4052,+46,40006957,1991-03-16,True
James,Brown,Eric Street 755,West Lisa,38669,Danmark,DK,19891121-7267,+45,9912962481,1989-11-21,True
Robert,Larsen,Isaksenskrenten 7,Elseberg,8436,Norge,NO,19731006-6105,+47,48881184,1973-10-06,True
Stine,Thorsen,Haugenmyra 41,Eliassen,8909,Norge,NO,19860715-3098,+47,48299508,1986-07-15,True
Markku,Karjalainen,Eljaksentie 7,Kangasala,94948,Finland,FI,19430302-5759,+358,+358 283366607,1943-03-02,True
Leif,Olsson,Granstigen 692,Malmö,79854,Sverige,SE,19951102-3557,+46,+46 (0)8 766 878 17,1995-11-02,True
Simen,Olsen,Aashagen 3B,Martevær,6371,Norge,NO,19910728-5211,+47,14 89 60 00,1991-07-28,True
Sofia,Malmberg,Skoltorget 5,Halmstad,74687,Sverige,SE,19711106-0345,+46,0294-518 63,1971-11-06,True
Alice,Aronsson,Storgatan 9,Ängelholm,98998,Sverige,SE,19831230-6840,+46,+46 (0)8 269 858 00,1983-12-30,True
Monique,Wright,Stacey Fort 0622,Rachelview,59379,Danmark,DK,19860818-7199,+45,+1-209-776-5022x9245,1986-08-18,True
Anna,Aasen,Thorsenjordet 3,Eide,8027,Norge,NO,19680208-0692,+47,+47 16 83 13 85,1968-02-08,True
Frode,Christensen,Kristoffersenlunden 67,Iversen,6510,Norge,NO,19420114-6806,+47,88134698,1942-01-14,True
Eva,Andersson,Trädgårdsgatan 190,Trelleborg,33836,Sverige,SE,19860129-0766,+46,039-496 39 10,1986-01-29,True
Kimberly,Wright,Christopher Hill 10800,Lake Debrabury,14326,Danmark,DK,19500907-1505,+45,(308)238-4541,1950-09-07,True
Gunilla,Holm,Industrigatan 848,Eskilstuna,85442,Sverige,SE,19860404-4376,+46,+46 (0)8 927 031 62,1986-04-04,True
Elisabeth,Mårtensson,Grangatan 6,Malmö,46137,Sverige,SE,19740201-9697,+46,+46 (0)46 99 94 10,1974-02-01,True
Cynthia,Bush,Myers Walks 56324,South Chaseburgh,18560,Danmark,DK,19940806-8497,+45,254.817.6334x521,1994-08-06,True
Robin,Jönsson,Skolgatan 2,Östersund,34018,Sverige,SE,19601021-1390,+46,08-07 91 70,1960-10-21,True
Jeanette,Johansson,Fabriksvägen 54,Nyköping,19937,Sverige,SE,19690507-4417,+46,0400-876 23,1969-05-07,True
Eva,Jansson,Åkertorget 1,Umeå,82458,Sverige,SE,19950801-0698,+46,0673-225 84,1995-08-01,True
Elisabet,Pettersson,Stationsvägen 0,Växjö,44298,Sverige,SE,19990318-9692,+46,+46 (0)8 888 659 97,1999-03-18,True
Rasmus,Pettersson,Järnvägsgatan 2,Trollhättan,96182,Sverige,SE,19580329-3785,+46,+46 (0)20 96 41 64,1958-03-29,True
Inger,Bengtsson,Storgatan 27,Västerås,62148,Sverige,SE,19580601-1029,+46,0710-037 88,1958-06-01,True
Margareta,Andersson,Granvägen 8,Lidingö,72878,Sverige,SE,19490105-8661,+46,0647-362 26,1949-01-05,True
Cheryl,Summers,House Squares 97522,Codyport,33342,Danmark,DK,19720305-5460,+45,8477651579,1972-03-05,True
Ann-Mari,Hedberg,Skolgränd 1,Örebro,90136,Sverige,SE,19410627-2004,+46,+46 (0)603 190 92,1941-06-27,True
Kristoffer,Abrahamsen,Larsenbakken 512,Ruud,0661,Norge,NO,19520221-5830,+47,32 25 94 32,1952-02-21,True
Erik,Fredriksen,Johnsensvingen 2,Lund,0876,Norge,NO,19540610-3172,+47,47 91 57 03,1954-06-10,True
Eliisa,Pulkkinen,Rukokatu 362,Lumijoki,08896,Finland,FI,19800108-574V,+358,096 487 5152,1980-01-08,True
Colin,Thomas,Shelly Loop 8961,West Lukeborough,75331,Danmark,DK,19800510-7175,+45,9395517405,1980-05-10,True
Ann,Pettersson,Storgränd 662,Motala,52935,Sverige,SE,19680531-8226,+46,08-596 29 71,1968-05-31,True
Anders,Stenberg,Skolgatan 35,Karlskoga,21092,Sverige,SE,19801005-2407,+46,08-840 63 75,1980-10-05,True
Pål,Ødegård,Lundgjerdet 9,Johannessen,8614,Norge,NO,19671204-5690,+47,997 37 705,1967-12-04,True
Jessica,Johansson,Industrigatan 6,Eskilstuna,68261,Sverige,SE,19751129-2627,+46,011-38 55 76,1975-11-29,True
Sture,Johansson,Parkvägen 8,Karlskoga,71692,Norge,SE,19751025-0391,+46,+46 (0)54 78 40 41,1975-10-25,True
Kristine,Hall,Mark Walk 833,Stevenview,92092,Danmark,DK,19430721-2569,+45,220.753.0813x802,1943-07-21,True
Leif,Fredriksson,Nystigen 10,Kalmar,53992,Sverige,SE,19440117-3080,+46,08-17 49 89,1944-01-17,True
Torbjörn,Lindqvist,Storgränd 44,Göteborg,34465,Sverige,SE,19711214-6724,+46,+46 (0)8 698 934 73,1971-12-14,True
Jennifer,Shah,Martin Circle 5749,Peterhaven,93092,Danmark,DK,19971102-2530,+45,222.760.3331x71655,1997-11-02,True
Björn,Petersson,Ängsgatan 51,Stockholm,52790,Sverige,SE,19880614-8609,+46,08-982 497 57,1988-06-14,True
Kerstin,Blomqvist,Grangatan 799,Uddevalla,97526,Sverige,SE,19970806-6440,+46,+46 (0)197 566 45,1997-08-06,True
Fredrik,Karlsson,Skolvägen 909,Gävle,17244,Sverige,SE,19721204-4085,+46,0996-05 23 03,1972-12-04,True
Peter,Johansson,Backvägen 888,Eskilstuna,64233,Sverige,SE,19440730-8925,+46,+46 (0)39 03 25 63,1944-07-30,True
Tobias,Eriksen,Fredriksengropa 4,Ellingsen,4375,Norge,NO,19430305-5683,+46,71731909,1943-03-05,True
Cecilia,Ekberg,Genstigen 0,Halmstad,19335,Sverige,SE,19480808-2371,+46,+46 (0)8 904 973 70,1948-08-08,True
Jon,Gundersen,Moenringen 5,Johannesfjell,7964,Norge,NO,19660613-5450,+47,01 50 47 32,1966-06-13,True
Jenny,Lindberg,Stationsgatan 907,Luleå,94518,Sverige,SE,19900305-0859,+46,08-94 21 28,1990-03-05,True
Mona,Holm,Gulbrandsenskrenten 2,Jørgenstad,2486,Norge,NO,19810123-7478,+47,+4715103466,1981-01-23,True
Sofie,Jakobsen,Knudsenringen 1,Bjørgfoss,2670,Norge,NO,20001207-0509,+47,29 37 71 65,2000-12-07,True
Olof,Eriksson,Kvarnvägen 846,Lidköping,13771,Sverige,SE,19850614-8864,+46,08-13 36 24,1985-06-14,True
Maria,Herrera,Alex Lake 88527,Lake Melissa,63227,Danmark,DK,19870327-9175,+45,2072595956,1987-03-27,True
Anders,Hellström,Kyrkogatan 57,Mölndal,68326,Sverige,SE,20000424-7873,+46,0616-999 78,2000-04-24,True
Maria,Sandberg,Nygatan 18,Ängelholm,28404,Sverige,SE,19970823-3094,+46,022-69 69 76,1997-08-23,True
Mari,Birkeland,Strømlunden 461,Knudsen,7033,Norge,NO,19751201-5931,+47,41043494,1975-12-01,True
Benny,Pettersson,Furugränd 581,Helsingborg,69936,Sverige,SE,19530811-3169,+46,08-18 77 60,1953-08-11,True
Linda,Johansson,Parktorget 09,Lidingö,91253,Sverige,SE,19940630-2924,+46,+46 (0)8 087 915 93,1994-06-30,True
Lindsey,Rice,Jason Plaza 9300,South Shariborough,00757,Danmark,DK,19440729-5739,+45,(936)973-1193x876,1944-07-29,True
Nina,Moe,Engenmarka 6C,Roarhamn,9118,Norge,NO,19600330-0697,+47,+47 98 53 05 85,1960-03-30,True
Hege,Martinsen,Kristiansenberget 1,Knutsen,1919,Norge,NO,19880607-5003,+47,93707000,1988-06-07,True
Stig,Eliasson,Storvägen 14,Örebro,50746,Sverige,SE,20000614-9674,+46,08-06 64 96,2000-06-14,True
Evy,Hansson,Skolgränd 440,Umeå,82360,Sverige,SE,19860731-1506,+46,047-14 88 85,1986-07-31,True
Adam,Patterson,Garcia Fall 96240,South Mary,33472,Danmark,DK,19740201-8675,+45,(221)204-2548x942,1974-02-01,True
Edvin,Olsson,Gengatan 26,Växjö,51577,Sverige,SE,19590913-9637,+46,+46 (0)8 085 797 88,1959-09-13,True
Emilia,Lundgren,Kvarngränd 6,Skövde,64453,Sverige,SE,19650616-2029,+46,+46 (0)055 202 00,1965-06-16,True
Siv,Bergqvist,Industrigränd 87,Linköping,46743,Sverige,SE,19450731-0971,+46,08-03 97 17,1945-07-31,True
Pål,Sæther,Kristensenvika 1,Øysteinhavn,7038,Norge,NO,19541222-7230,+47,47848824,1954-12-22,True
Per,Hagen,Arnesentjernet 5,Christensen,8628,Norge,NO,19401211-8884,+47,949 49 021,1940-12-11,True
Richard,Dean,Jennifer Court 345,Duaneview,90140,Danmark,DK,19810415-7288,+45,799-570-4918x1263,1981-04-15,True
Artur,Svensson,Åkerstigen 496,Jönköping,65063,Sverige,SE,19650510-8606,+46,+46 (0)8 033 597 92,1965-05-10,True
Carina,Larsson,Kyrkgatan 5,Ängelholm,44531,Sverige,SE,19630615-9408,+46,021-53 38 22,1963-06-15,True
Tor,Strand,Eliassenstubben 2,Johnsen,8353,Norge,NO,19590130-0499,+47,490 34 517,1959-01-30,True
Sofia,Johansson,Kyrkogatan 5,Uddevalla,73958,Sverige,SE,19860405-8960,+46,0188-334 82,1986-04-05,True
Carol,Hoover,Yates Parkways 567,Turnershire,13877,Danmark,DK,19440215-1625,+45,2475707472,1944-02-15,True
Tone,Rasmussen,Kristoffersenvika 01A,Emmaby,3116,qorge,NO,19410219-9180,+47,36979231,1941-02-19,True
Maria,Pettersson,Kyrkvägen 4,Piteå,87975,Sverige,SE,19521207-9049,+46,036-88 89 03,1952-12-07,True
Jenny,Eriksson,Kyrkgatan 194,Sandviken,77591,Sverige,SE,19630501-6823,+46,08-347 74 40,1963-05-01,True
Trond,Johnsen,Knudsenvika 9D,Tommystrand,9228,Norge,NO,19870117-7894,+47,985 69 377,1987-01-17,True
Elizabeth,Gonzalez,Timothy View 420,North Carrieborough,64804,Danmark,DK,19971226-1991,+45,336.973.5473,1997-12-26,True
Christoffer,Andersson,Aspvägen 994,Borlänge,72210,Sverige,SE,19790615-3084,+46,0618-89 48 77,1979-06-15,True
Johanna,Heikkinen,Elonpolku 5,Valtimo,46438,Finland,FI,19960627-159A,+358,(+358) 398148299,1996-06-27,True
Elisabet,Sjögren,Stationsstigen 3,Karlstad,56525,Sverige,SE,19670617-5666,+46,08-685 06 04,1967-06-17,True
Mats,Larsson,Skogsvägen 7,Helsingborg,83091,Sverige,SE,19741126-5171,+46,+46 (0)35 57 75 92,1974-11-26,True
Gunvor,Eriksson,Aspgatan 799,Östersund,39967,Sverige,SE,19821215-9273,+46,08-294 78 18,1982-12-15,True
Kristian,Haugen,Kristiansensvingen 2A,Andreassen,7051,Norge,NO,19900823-7284,+47,+4772447344,1990-08-23,True
Bo,Olofsson,Industrigränd 4,Helsingborg,61528,Sverige,SE,19451126-0550,+46,0417-38 49 73,1945-11-26,True
Leif,Gulbrandsen,Lienlia 2A,Håkonfjell,8698,Sverige,NO,19700122-0846,47,94608107,1970-01-22,True
Hjalmar,Karlsson,Gentorget 636,Lund,82963,Sverige,SE,19950607-4364,+46,08-70 63 26,1995-06-07,True
Alexandra,Johansson,Ekgränd 63,Helsingborg,39494,Sverige,SE,19670529-6337,+46,08-12 93 80,1967-05-29,True
Stefan,Boman,Kvarnvägen 364,Jönköping,59125,Sverige,SE,19891127-3085,+46,+46 (0)596 519 20,1989-11-27,True
Danielle,Walker,Flores Pine 021,Wilkinsonstad,12715,Finland,DK,19920719-6118,+45,688.714.6636x7932,1992-07-19,True
Kirsi,Pulkkinen,Yrttimaanpolku 1,Oulainen,66157,Finland,FI,19770224-849J,+358,+358 81 1430054,1977-02-24,True
Cassandra,Stein,Alan Trafficway 7779,Jasonport,61859,Danmark,DK,19570116-7173,+45,+1-651-390-5812x864,1957-01-16,True
Roger,Larsson,Parktorget 2,Piteå,32637,Sverige,SE,19961221-9355,+46,0416-24 39 44,1996-12-21,True
Alan,Benson,Holt Walk 841,New Brandon,45848,Sverige,DK,19670104-4357,+45,575.627.7813,1967-01-04,True
Lars,Berntsson,Industritorget 657,Falun,66019,Sverige,SE,19870901-5275,+46,08-231 80 89,1987-09-01,True
Emilia,Ketola,Caloniuksentie 76,Kauhajoki,54418,Finland,FI,19691206-075J,+358,+358 40 6449600,1969-12-06,True
